prov,year,ldeaths,x1,x2,ltotpop,lurbpop,ydum2,ydum3,ydum4,ydum5,ydum6,ydum7,ydum8,ydum9,ydum10,ydum11,ydum12,ydum13
210000,1957,7.6535139,0,6.3413506,7.7813473,6.7847962,0,0,0,1,0,0,0,0,0,0,0,0
210000,1958,7.9673147,5.9351349,0,7.8018003,6.8319535,0,0,0,0,1,0,0,0,0,0,0,0
210000,1959,7.9645276,6.216805,0,7.8247657,6.9707303,0,0,0,0,0,1,0,0,0,0,0,0
210000,1960,8.4071827,6.1609502,0,7.8475671,6.9226437,0,0,0,0,0,0,1,0,0,0,0,0
210000,1961,7.6692176,0,6.3189569,7.8317366,6.9392538,0,0,0,0,0,0,0,1,0,0,0,0
210000,1962,7.6077342,0,6.3851957,7.8434563,6.8362594,0,0,0,0,0,0,0,0,1,0,0,0
210000,1963,7.8109136,0,6.369019,7.8834839,6.877296,0,0,0,0,0,0,0,0,0,1,0,0
210000,1964,7.571104,0,6.2031946,7.9135942,6.89467,0,0,0,0,0,0,0,0,0,0,1,0
210000,1965,7.4622989,0,6.4906034,7.9403348,6.9213624,0,0,0,0,0,0,0,0,0,0,0,1
220000,1953,7.0749021,0,6.1329441,7.0328007,5.7430034,0,0,0,0,0,0,0,0,0,0,0,0
220000,1954,7.051178,0,6.0451646,7.0602188,5.7920985,1,0,0,0,0,0,0,0,0,0,0,0
220000,1955,6.8081355,0,6.0994267,7.0918255,5.8605013,0,1,0,0,0,0,0,0,0,0,0,0
220000,1956,7.0104675,0,6.0393057,7.1102877,5.7639365,0,0,1,0,0,0,0,0,0,0,0,0
220000,1957,7.0372624,0,5.9401484,7.1293778,5.9012661,0,0,0,1,0,0,0,0,0,0,0,0
220000,1958,7.4502244,6.2769122,0,7.1553183,5.9932132,0,0,0,0,1,0,0,0,0,0,0,0
220000,1959,7.192986,6.0298872,0,7.1800699,6.1499629,0,0,0,0,0,1,0,0,0,0,0,0
220000,1960,7.4286337,5.9148216,0,7.2421541,6.3084626,0,0,0,0,0,0,1,0,0,0,0,0
